job_index,job_id,seed,horizon,model,script,output_directory,command
72,seed123_horizon09_CNN_LSTM,123,9,CNN-LSTM,seed123_horizon09_cnn_lstm.py,CNN-LSTM_seed123_horizon9,python seed123_horizon09_cnn_lstm.py
73,seed123_horizon12_STG_Informer,123,12,STG-Informer,seed123_horizon12_stg_informer.py,STG_seed123_horizon12,python seed123_horizon12_stg_informer.py
74,seed123_horizon12_G_Informer,123,12,G-Informer,seed123_horizon12_g_informer.py,G_seed123_horizon12,python seed123_horizon12_g_informer.py
75,seed123_horizon12_ST_Informer,123,12,ST-Informer,seed123_horizon12_st_informer.py,ST_seed123_horizon12,python seed123_horizon12_st_informer.py
76,seed123_horizon12_Informer,123,12,Informer,seed123_horizon12_informer.py,Informer_seed123_horizon12,python seed123_horizon12_informer.py
77,seed123_horizon12_GRU,123,12,GRU,seed123_horizon12_gru.py,GRU_seed123_horizon12,python seed123_horizon12_gru.py
78,seed123_horizon12_Transformer,123,12,Transformer,seed123_horizon12_transformer.py,Transformer_seed123_horizon12,python seed123_horizon12_transformer.py
79,seed123_horizon12_ConvLSTM,123,12,ConvLSTM,seed123_horizon12_convlstm.py,ConvLSTM_seed123_horizon12,python seed123_horizon12_convlstm.py
80,seed123_horizon12_CNN_LSTM,123,12,CNN-LSTM,seed123_horizon12_cnn_lstm.py,CNN-LSTM_seed123_horizon12,python seed123_horizon12_cnn_lstm.py
81,seed2024_horizon01_STG_Informer,2024,1,STG-Informer,seed2024_horizon01_stg_informer.py,STG_seed2024_horizon1,python seed2024_horizon01_stg_informer.py
82,seed2024_horizon01_G_Informer,2024,1,G-Informer,seed2024_horizon01_g_informer.py,G_seed2024_horizon1,python seed2024_horizon01_g_informer.py
83,seed2024_horizon01_ST_Informer,2024,1,ST-Informer,seed2024_horizon01_st_informer.py,ST_seed2024_horizon1,python seed2024_horizon01_st_informer.py
84,seed2024_horizon01_Informer,2024,1,Informer,seed2024_horizon01_informer.py,Informer_seed2024_horizon1,python seed2024_horizon01_informer.py
85,seed2024_horizon01_GRU,2024,1,GRU,seed2024_horizon01_gru.py,GRU_seed2024_horizon1,python seed2024_horizon01_gru.py
86,seed2024_horizon01_Transformer,2024,1,Transformer,seed2024_horizon01_transformer.py,Transformer_seed2024_horizon1,python seed2024_horizon01_transformer.py
87,seed2024_horizon01_ConvLSTM,2024,1,ConvLSTM,seed2024_horizon01_convlstm.py,ConvLSTM_seed2024_horizon1,python seed2024_horizon01_convlstm.py
88,seed2024_horizon01_CNN_LSTM,2024,1,CNN-LSTM,seed2024_horizon01_cnn_lstm.py,CNN-LSTM_seed2024_horizon1,python seed2024_horizon01_cnn_lstm.py
89,seed2024_horizon03_STG_Informer,2024,3,STG-Informer,seed2024_horizon03_stg_informer.py,STG_seed2024_horizon3,python seed2024_horizon03_stg_informer.py
90,seed2024_horizon03_G_Informer,2024,3,G-Informer,seed2024_horizon03_g_informer.py,G_seed2024_horizon3,python seed2024_horizon03_g_informer.py
91,seed2024_horizon03_ST_Informer,2024,3,ST-Informer,seed2024_horizon03_st_informer.py,ST_seed2024_horizon3,python seed2024_horizon03_st_informer.py
92,seed2024_horizon03_Informer,2024,3,Informer,seed2024_horizon03_informer.py,Informer_seed2024_horizon3,python seed2024_horizon03_informer.py
93,seed2024_horizon03_GRU,2024,3,GRU,seed2024_horizon03_gru.py,GRU_seed2024_horizon3,python seed2024_horizon03_gru.py
94,seed2024_horizon03_Transformer,2024,3,Transformer,seed2024_horizon03_transformer.py,Transformer_seed2024_horizon3,python seed2024_horizon03_transformer.py
95,seed2024_horizon03_ConvLSTM,2024,3,ConvLSTM,seed2024_horizon03_convlstm.py,ConvLSTM_seed2024_horizon3,python seed2024_horizon03_convlstm.py
96,seed2024_horizon03_CNN_LSTM,2024,3,CNN-LSTM,seed2024_horizon03_cnn_lstm.py,CNN-LSTM_seed2024_horizon3,python seed2024_horizon03_cnn_lstm.py
97,seed2024_horizon06_STG_Informer,2024,6,STG-Informer,seed2024_horizon06_stg_informer.py,STG_seed2024_horizon6,python seed2024_horizon06_stg_informer.py
98,seed2024_horizon06_G_Informer,2024,6,G-Informer,seed2024_horizon06_g_informer.py,G_seed2024_horizon6,python seed2024_horizon06_g_informer.py
99,seed2024_horizon06_ST_Informer,2024,6,ST-Informer,seed2024_horizon06_st_informer.py,ST_seed2024_horizon6,python seed2024_horizon06_st_informer.py
100,seed2024_horizon06_Informer,2024,6,Informer,seed2024_horizon06_informer.py,Informer_seed2024_horizon6,python seed2024_horizon06_informer.py
101,seed2024_horizon06_GRU,2024,6,GRU,seed2024_horizon06_gru.py,GRU_seed2024_horizon6,python seed2024_horizon06_gru.py
102,seed2024_horizon06_Transformer,2024,6,Transformer,seed2024_horizon06_transformer.py,Transformer_seed2024_horizon6,python seed2024_horizon06_transformer.py
103,seed2024_horizon06_ConvLSTM,2024,6,ConvLSTM,seed2024_horizon06_convlstm.py,ConvLSTM_seed2024_horizon6,python seed2024_horizon06_convlstm.py
104,seed2024_horizon06_CNN_LSTM,2024,6,CNN-LSTM,seed2024_horizon06_cnn_lstm.py,CNN-LSTM_seed2024_horizon6,python seed2024_horizon06_cnn_lstm.py
105,seed2024_horizon09_STG_Informer,2024,9,STG-Informer,seed2024_horizon09_stg_informer.py,STG_seed2024_horizon9,python seed2024_horizon09_stg_informer.py
106,seed2024_horizon09_G_Informer,2024,9,G-Informer,seed2024_horizon09_g_informer.py,G_seed2024_horizon9,python seed2024_horizon09_g_informer.py
107,seed2024_horizon09_ST_Informer,2024,9,ST-Informer,seed2024_horizon09_st_informer.py,ST_seed2024_horizon9,python seed2024_horizon09_st_informer.py
108,seed2024_horizon09_Informer,2024,9,Informer,seed2024_horizon09_informer.py,Informer_seed2024_horizon9,python seed2024_horizon09_informer.py
109,seed2024_horizon09_GRU,2024,9,GRU,seed2024_horizon09_gru.py,GRU_seed2024_horizon9,python seed2024_horizon09_gru.py
110,seed2024_horizon09_Transformer,2024,9,Transformer,seed2024_horizon09_transformer.py,Transformer_seed2024_horizon9,python seed2024_horizon09_transformer.py
111,seed2024_horizon09_ConvLSTM,2024,9,ConvLSTM,seed2024_horizon09_convlstm.py,ConvLSTM_seed2024_horizon9,python seed2024_horizon09_convlstm.py
112,seed2024_horizon09_CNN_LSTM,2024,9,CNN-LSTM,seed2024_horizon09_cnn_lstm.py,CNN-LSTM_seed2024_horizon9,python seed2024_horizon09_cnn_lstm.py
113,seed2024_horizon12_STG_Informer,2024,12,STG-Informer,seed2024_horizon12_stg_informer.py,STG_seed2024_horizon12,python seed2024_horizon12_stg_informer.py
114,seed2024_horizon12_G_Informer,2024,12,G-Informer,seed2024_horizon12_g_informer.py,G_seed2024_horizon12,python seed2024_horizon12_g_informer.py
115,seed2024_horizon12_ST_Informer,2024,12,ST-Informer,seed2024_horizon12_st_informer.py,ST_seed2024_horizon12,python seed2024_horizon12_st_informer.py
116,seed2024_horizon12_Informer,2024,12,Informer,seed2024_horizon12_informer.py,Informer_seed2024_horizon12,python seed2024_horizon12_informer.py
117,seed2024_horizon12_GRU,2024,12,GRU,seed2024_horizon12_gru.py,GRU_seed2024_horizon12,python seed2024_horizon12_gru.py
118,seed2024_horizon12_Transformer,2024,12,Transformer,seed2024_horizon12_transformer.py,Transformer_seed2024_horizon12,python seed2024_horizon12_transformer.py
119,seed2024_horizon12_ConvLSTM,2024,12,ConvLSTM,seed2024_horizon12_convlstm.py,ConvLSTM_seed2024_horizon12,python seed2024_horizon12_convlstm.py
120,seed2024_horizon12_CNN_LSTM,2024,12,CNN-LSTM,seed2024_horizon12_cnn_lstm.py,CNN-LSTM_seed2024_horizon12,python seed2024_horizon12_cnn_lstm.py
121,seed007_horizon01_STG_Informer,7,1,STG-Informer,seed007_horizon01_stg_informer.py,STG_seed7_horizon1,python seed007_horizon01_stg_informer.py
122,seed007_horizon01_G_Informer,7,1,G-Informer,seed007_horizon01_g_informer.py,G_seed7_horizon1,python seed007_horizon01_g_informer.py
123,seed007_horizon01_ST_Informer,7,1,ST-Informer,seed007_horizon01_st_informer.py,ST_seed7_horizon1,python seed007_horizon01_st_informer.py
124,seed007_horizon01_Informer,7,1,Informer,seed007_horizon01_informer.py,Informer_seed7_horizon1,python seed007_horizon01_informer.py
125,seed007_horizon01_GRU,7,1,GRU,seed007_horizon01_gru.py,GRU_seed7_horizon1,python seed007_horizon01_gru.py
126,seed007_horizon01_Transformer,7,1,Transformer,seed007_horizon01_transformer.py,Transformer_seed7_horizon1,python seed007_horizon01_transformer.py
127,seed007_horizon01_ConvLSTM,7,1,ConvLSTM,seed007_horizon01_convlstm.py,ConvLSTM_seed7_horizon1,python seed007_horizon01_convlstm.py
128,seed007_horizon01_CNN_LSTM,7,1,CNN-LSTM,seed007_horizon01_cnn_lstm.py,CNN-LSTM_seed7_horizon1,python seed007_horizon01_cnn_lstm.py
129,seed007_horizon03_STG_Informer,7,3,STG-Informer,seed007_horizon03_stg_informer.py,STG_seed7_horizon3,python seed007_horizon03_stg_informer.py
130,seed007_horizon03_G_Informer,7,3,G-Informer,seed007_horizon03_g_informer.py,G_seed7_horizon3,python seed007_horizon03_g_informer.py
131,seed007_horizon03_ST_Informer,7,3,ST-Informer,seed007_horizon03_st_informer.py,ST_seed7_horizon3,python seed007_horizon03_st_informer.py
132,seed007_horizon03_Informer,7,3,Informer,seed007_horizon03_informer.py,Informer_seed7_horizon3,python seed007_horizon03_informer.py
133,seed007_horizon03_GRU,7,3,GRU,seed007_horizon03_gru.py,GRU_seed7_horizon3,python seed007_horizon03_gru.py
134,seed007_horizon03_Transformer,7,3,Transformer,seed007_horizon03_transformer.py,Transformer_seed7_horizon3,python seed007_horizon03_transformer.py
135,seed007_horizon03_ConvLSTM,7,3,ConvLSTM,seed007_horizon03_convlstm.py,ConvLSTM_seed7_horizon3,python seed007_horizon03_convlstm.py
136,seed007_horizon03_CNN_LSTM,7,3,CNN-LSTM,seed007_horizon03_cnn_lstm.py,CNN-LSTM_seed7_horizon3,python seed007_horizon03_cnn_lstm.py
137,seed007_horizon06_STG_Informer,7,6,STG-Informer,seed007_horizon06_stg_informer.py,STG_seed7_horizon6,python seed007_horizon06_stg_informer.py
138,seed007_horizon06_G_Informer,7,6,G-Informer,seed007_horizon06_g_informer.py,G_seed7_horizon6,python seed007_horizon06_g_informer.py
139,seed007_horizon06_ST_Informer,7,6,ST-Informer,seed007_horizon06_st_informer.py,ST_seed7_horizon6,python seed007_horizon06_st_informer.py
140,seed007_horizon06_Informer,7,6,Informer,seed007_horizon06_informer.py,Informer_seed7_horizon6,python seed007_horizon06_informer.py
141,seed007_horizon06_GRU,7,6,GRU,seed007_horizon06_gru.py,GRU_seed7_horizon6,python seed007_horizon06_gru.py
142,seed007_horizon06_Transformer,7,6,Transformer,seed007_horizon06_transformer.py,Transformer_seed7_horizon6,python seed007_horizon06_transformer.py
143,seed007_horizon06_ConvLSTM,7,6,ConvLSTM,seed007_horizon06_convlstm.py,ConvLSTM_seed7_horizon6,python seed007_horizon06_convlstm.py
144,seed007_horizon06_CNN_LSTM,7,6,CNN-LSTM,seed007_horizon06_cnn_lstm.py,CNN-LSTM_seed7_horizon6,python seed007_horizon06_cnn_lstm.py
